English,Dena'inaq'
Who am I?,Ch’adach’ q’u sh’iyi qilan?
My name is ,sh’iyi qilan
My grandmothers name is ,shchitda’a nlan
My grandfathers name is ,shchada’a nlan
My mothers name is ,shunkda nlan
My fathers name is ,shtuda nlan
My wife’s name is ,sh’u nlan 
My husband’s name is ,shqen nlan
My child/childrens names is/are ,shgguya nlan
1 person has passed away ,Ghila’en 
2 or more people have passed away,Ghilana
I am Culture/clan name,clan/culture name shugu elan shit’i
my village/city is ,shugu shqayeh qilanda 
now I stay/live at,Q’udi shugu yeshduda 
kenai ,kahtnu
knik ,niteh
soldotna,ts’eldatnu
eklutna,eydlughet
tyonek,tebughnen
chickaloon,nuk’din’itnu
anchorage,dghayitnu
benteh ,wasilla
my older brothers name is,shingha 
my older sisters name is,shuda
my younger brothers name is ,shkela
my younger sisters name is,shdaja 
